work_id,work_title,child_id,child_title
336,カードファイト!! ヴァンガード外伝 イフ-if-,1144,カードファイト!! ヴァンガード外伝 イフ-if-,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/87/8/23878_1_8_8b.png?1585627847000
343,もっと！まじめにふまじめ かいけつゾロリ,3136,もっと！まじめにふまじめ かいけつゾロリ,""
344,トミカ絆合体 アースグランナー,819,トミカ絆合体 アースグランナー,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/76/1/23761_1_8_8b.png?1585107008000
346,爆丸アーマードアライアンス,1251,爆丸アーマードアライアンス,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/71/5/23715_1_8_8b.png?1583215668000
363,デカダンス,262,デカダンス,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/04/8/24048_1_8_8b.png?1591688767000
365,うまよん,4885,うまよん,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/09/2/24092_1_8_8b.png?1592811008000
367,天晴爛漫！,4063,天晴爛漫！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/65/6/23656_1_8_8b.png?1583129159000
375,彼女、お借りします,3486,彼女、お借りします,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/02/5/24025_1_8_8b.png?1591255941000
378,ド級編隊エグゼロス,2317,ド級編隊エグゼロス,""
379,デジモンアドベンチャー：,498,デジモンアドベンチャー：,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/87/6/23876_1_8_8b.png?1586835008000
380,炎炎ノ消防隊 弐ノ章,65,炎炎ノ消防隊 弐ノ章,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/03/3/24033_1_8_8b.png?1592359590000
381,ムヒョとロージーの魔法律相談事務所 第2期,625,ムヒョとロージーの魔法律相談事務所 第2期,""
382,魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～,41,魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/65/7/23657_1_8_8b.png?1591151616000
388,異常生物見聞録,444,異常生物見聞録,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/10/7/24107_1_8_8b.png?1593048863000
393,富豪刑事 Balance:UNLIMITED,4232,富豪刑事 Balance:UNLIMITED,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/75/1/23751_1_8_8b.png?1584954146000
395,モンスター娘のお医者さん,204,モンスター娘のお医者さん,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/03/7/24037_1_8_8b.png?1591846207000
396,食戟のソーマ 豪ノ皿,4464,食戟のソーマ 豪ノ皿,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/19/0/23190_1_8_8b.png?1584929510000
397,宇崎ちゃんは遊びたい！,3484,宇崎ちゃんは遊びたい！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/03/4/24034_1_8_8b.png?1591583432000
410,放課後ていぼう日誌,3890,放課後ていぼう日誌,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/74/6/23746_1_8_8b.png?1583215516000
412,THE GOD OF HIGH SCHOOL ゴッド・オブ・ハイスクール,2300,THE GOD OF HIGH SCHOOL ゴッド・オブ・ハイスクール,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/09/3/24093_1_8_8b.png?1593684110000
420,ポータウンのなかまたち,1187,ポータウンのなかまたち,""
433,まえせつ！,3098,まえせつ！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/25/5/24255_1_8_8b.png?1599195870000
434,おちこぼれフルーツタルト,4515,おちこぼれフルーツタルト,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/30/0/24300_1_8_8b.png?1600133948000
435,犬と猫どっちも飼ってると毎日たのしい,3939,犬と猫どっちも飼ってると毎日たのしい,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/33/1/24331_1_8_8b.png?1601886608000
437,刀使ノ巫女 刻みし一閃の燈火,2693,刀使ノ巫女 刻みし一閃の燈火,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/32/9/24329_1_8_8b.png?1603675908000
445,土下座で頼んでみた,2953,土下座で頼んでみた,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/29/4/24294_1_8_8b.png?1600337198000
447,アイドリッシュセブン Second BEAT!,4530,アイドリッシュセブン Second BEAT!,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/19/1/23191_1_8_8b.png?1585278036000
448,呪術廻戦,8,呪術廻戦,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/29/2/24292_1_8_8b.png?1609119057000
449,魔女の旅々,110,魔女の旅々,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/27/3/24273_1_8_8b.png?1599544808000
456,神様になった日,169,神様になった日,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/31/4/24314_1_8_8b.png?1602230409000
461,NOBLESSE -ノブレス-,473,NOBLESSE -ノブレス-,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/27/0/24270_1_8_8b.png?1601278208000
464,トニカクカワイイ,2900,トニカクカワイイ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/27/5/24275_1_8_8b.png?1600416037000
465,体操ザムライ,4068,体操ザムライ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/31/5/24315_1_8_8b.png?1601026321000
469,魔法科高校の劣等生 来訪者編,76,魔法科高校の劣等生 来訪者編,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/25/2/24252_1_8_8b.png?1600153547000
472,とーとつにエジプト神,771,とーとつにエジプト神,""
473,進撃の巨人 The Final Season,127,進撃の巨人 The Final Season,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/24/2/24242_1_8_8b.png?1603683214000
474,魔王城でおやすみ,150,魔王城でおやすみ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/24/0/24240_1_8_8b.png?1600153572000
475,最響カミズモード！,1275,最響カミズモード！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/29/8/24298_1_8_8b.png?1600857140000
476,くまクマ熊ベアー,167,くまクマ熊ベアー,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/25/3/24253_1_8_8b.png?1600133562000
477,キングスレイド 意志を継ぐものたち,285,キングスレイド 意志を継ぐものたち,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/30/7/24307_1_8_8b.png?1600061740000
478,ひぐらしのなく頃に業,4219,ひぐらしのなく頃に業,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/25/1/24251_1_8_8b.png?1602208809000
486,キミと僕の最後の戦場、あるいは世界が始まる聖戦,171,キミと僕の最後の戦場、あるいは世界が始まる聖戦,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/25/4/24254_1_8_8b.png?1600134077000
487,ラブライブ！虹ヶ咲学園スクールアイドル同好会,4489,ラブライブ！虹ヶ咲学園スクールアイドル同好会,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/30/5/24305_1_8_8b.png?1600337034000
489,戦翼のシグルドリーヴァ,363,戦翼のシグルドリーヴァ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/31/1/24311_1_8_8b.png?1600338253000
491,無能なナナ,175,無能なナナ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/24/9/24249_1_8_8b.png?1599638599000
492,レヱル・ロマネスク,855,レヱル・ロマネスク,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/29/1/24291_1_8_8b.png?1601379359000
498,それだけがネック,4902,それだけがネック,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/23/9/24239_1_8_8b.png?1600228808000
506,100万の命の上に俺は立っている,166,100万の命の上に俺は立っている,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/26/7/24267_1_8_8b.png?1599037488000
508,禍つヴァールハイト -ZUERST-,682,禍つヴァールハイト -ZUERST-,""
512,キャップ革命 ボトルマン,2822,キャップ革命 ボトルマン,""
515,ギャルと恐竜,3042,ギャルと恐竜,""
519,安達としまむら,3552,安達としまむら,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/29/9/24299_1_8_8b.png?1600337313000
521,憂国のモリアーティ,4229,憂国のモリアーティ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/30/4/24304_1_8_8b.png?1615782606000
523,神達に拾われた男,84,神達に拾われた男,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/30/2/24302_1_8_8b.png?1600133926000
525,秘密結社 鷹の爪 ～ゴールデン・スペル～,3101,秘密結社 鷹の爪 ～ゴールデン・スペル～,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/31/7/24317_1_8_8b.png?1600930679000
536,ぐらぶるっ！,802,ぐらぶるっ！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/32/5/24325_1_8_8b.png?1601543186000
551,明治東亰恋伽,562,明治東亰恋伽,""
552,約束のネバーランド,153,約束のネバーランド,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/05/5/23055_1_8_8b.png?1570519808000
554,ぱすてるメモリーズ,925,ぱすてるメモリーズ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/53/6/22536_1_8_8b.png?1551350976000
556,不機嫌なモノノケ庵 續,345,不機嫌なモノノケ庵 續,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/57/1/22571_1_8_8b.png?1551347503000
558,盾の勇者の成り上がり,12,盾の勇者の成り上がり,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/56/8/22568_1_8_8b.png?1551353888000
562,スター☆トゥインクルプリキュア,1074,スター☆トゥインクルプリキュア,""
567,みにとじ,3944,みにとじ,""
568,上野さんは不器用,2920,上野さんは不器用,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/52/8/22528_1_8_8b.png?1551346850000
570,荒野のコトブキ飛行隊,1861,荒野のコトブキ飛行隊,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/54/2/22542_1_8_8b.png?1551346697000
571,ガーリー・エアフォース,456,ガーリー・エアフォース,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/56/7/22567_1_8_8b.png?1551353272000
572,ドメスティックな彼女,3629,ドメスティックな彼女,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/21/7/24217_1_8_8b.png?1597719608000
574,ブギーポップは笑わない,407,ブギーポップは笑わない,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/57/0/22570_1_8_8b.png?1551346611000
575,私に天使が舞い降りた！,2902,私に天使が舞い降りた！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/57/2/22572_1_8_8b.png?1551353380000
576,えんどろ～！,488,えんどろ～！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/54/0/22540_1_8_8b.png?1551348717000
577,五等分の花嫁,3476,五等分の花嫁,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/54/3/22543_1_8_8b.png?1551346708000
581,サークレット・プリンセス,695,サークレット・プリンセス,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/54/5/22545_1_8_8b.png?1551349522000
582,エガオノダイカ,624,エガオノダイカ,""
586,コードギアス 復活のルルーシュ,1270,コードギアス 復活のルルーシュ,""
593,グリザイア：ファントムトリガー THE ANIMATION,4259,グリザイア：ファントムトリガー THE ANIMATION,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/71/0/22710_1_8_8b.png?1553673626000
597,劇場版 トリニティセブン -天空図書館と真紅の魔王-,966,劇場版 トリニティセブン -天空図書館と真紅の魔王-,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/53/0/22530_1_8_8b.png?1552617008000
600,BanG Dream! 2nd Season,4484,BanG Dream! 2nd Season,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/52/9/22529_1_8_8b.png?1551352764000
603,グリムノーツ The Animation,686,グリムノーツ The Animation,""
608,バーチャルさんはみている,3065,バーチャルさんはみている,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/57/3/22573_1_8_8b.png?1551348224000
612,真夜中のボイトレ男子,1300,真夜中のボイトレ男子,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/67/0/22670_1_8_8b.png?1553063408000
622,W'z《ウィズ》,748,W'z《ウィズ》,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/53/9/22539_1_8_8b.png?1551353672000
623,劇場版 幼女戦記,341,劇場版 幼女戦記,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/55/9/23559_1_8_8b.png?1582160551000
626,バミューダトライアングル ～カラフル・パストラーレ～,1077,バミューダトライアングル ～カラフル・パストラーレ～,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/56/6/22566_1_8_8b.png?1551350727000
627,フライングベイビーズ,3975,フライングベイビーズ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/59/9/22599_1_8_8b.png?1551347967000
