title,image_url,
映画ドラえもん,https://abm.hayabusa.media/series/35-46/thumb.png%3Fversion%3D1609126104?width=242&height=136&quality=60&format=jpg&version=1609126104&fit=fill&background=000000
モブサイコ100,https://abm.hayabusa.media/series/199-18/thumb.png%3Fversion%3D1608188630?width=242&height=136&quality=60&format=jpg&version=1608188630&fit=fill&background=000000
100万の命の上に俺は立っている,https://abm.hayabusa.media/series/169-80/thumb.png%3Fversion%3D1601450927?width=242&height=136&quality=60&format=jpg&version=1601450927&fit=fill&background=000000
Ｄｒ．ＳＴＯＮＥ　第１期,https://abm.hayabusa.media/series/19-34/thumb.png%3Fversion%3D1578478332?width=242&height=136&quality=60&format=jpg&version=1578478332&fit=fill&background=000000
Re:ゼロから始める異世界生活 Memory Snow,https://abm.hayabusa.media/series/25-134/thumb.png%3Fversion%3D1571797596?width=242&height=136&quality=60&format=jpg&version=1571797596&fit=fill&background=000000
劇場版総集編 後編 『ハイキュー!! 勝者と敗者』,https://abm.hayabusa.media/series/19-2/thumb.png%3Fversion%3D1568168514?width=242&height=136&quality=60&format=jpg&version=1568168514&fit=fill&background=000000
『ヒプノシスマイク-Division Rap Battle-』Rhyme Anima,https://abm.hayabusa.media/series/26-108/thumb.png%3Fversion%3D1601518708?width=242&height=136&quality=60&format=jpg&version=1601518708&fit=fill&background=000000
モブサイコ100 II,https://abm.hayabusa.media/series/199-25/thumb.png%3Fversion%3D1561447744?width=242&height=136&quality=60&format=jpg&version=1561447744&fit=fill&background=000000
無能なナナ,https://abm.hayabusa.media/series/25-153/thumb.png%3Fversion%3D1601607601?width=242&height=136&quality=60&format=jpg&version=1601607601&fit=fill&background=000000
青の祓魔師 劇場版,https://abm.hayabusa.media/series/26-103/thumb.png%3Fversion%3D1596420529?width=242&height=136&quality=60&format=jpg&version=1596420529&fit=fill&background=000000
キミと僕の最後の戦場、あるいは世界が始まる聖戦,https://abm.hayabusa.media/series/25-154/thumb.png%3Fversion%3D1601451702?width=242&height=136&quality=60&format=jpg&version=1601451702&fit=fill&background=000000
